State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Rajasthan,Udaipur,Udaipur (F&V),Mango,Other,Medium,25/03/2024,3000,9000,8500,20
Rajasthan,Dausa,Mandawari,Wheat,Other,FAQ,25/03/2024,2342,2791,2600,1
Rajasthan,Udaipur,Udaipur (F&V),Cauliflower,Other,FAQ,25/03/2024,2000,3500,3000,34
Rajasthan,Udaipur,Udaipur (F&V),Banana,Other,Medium,25/03/2024,1500,2000,1800,19
Rajasthan,Dausa,Mandawari,Mustard,Other,FAQ,25/03/2024,4750,5250,5110,12
Rajasthan,Udaipur,Udaipur (F&V),Brinjal,Other,FAQ,25/03/2024,1500,2500,2200,35
Rajasthan,Udaipur,Udaipur (F&V),Cabbage,Other,FAQ,25/03/2024,1500,2000,1800,154
Rajasthan,Jaipur,Sambhar (Kishangarh renwal),Taramira,Other,FAQ,25/03/2024,4500,4550,4525,76
Rajasthan,Jodhpur,Bhagat Ki Kothi,Taramira,Other,FAQ,25/03/2024,4250,4300,4275,76
Rajasthan,Udaipur,Udaipur (F&V),Bhindi(Ladies Finger),Other,FAQ,25/03/2024,2000,3000,2800,85
Rajasthan,Jaipur,Chomu (F&V),Tomato,Other,FAQ,25/03/2024,2000,2600,2300,78
Rajasthan,Rajasamand,Rajsamand,Tomato,Tomato,FAQ,25/03/2024,1300,1500,1400,78
Rajasthan,Baran,Baran,Tomato,Other,FAQ,25/03/2024,1000,1500,1200,78
Rajasthan,Hanumangarh,Hanumangarh(Urlivas),Tomato,Deshi,FAQ,25/03/2024,1900,2100,2000,78
Rajasthan,Bhilwara,Bhilwara,Onion,Other,FAQ,25/03/2024,1800,2500,2190,23
Rajasthan,Hanumangarh,Sangriya,Onion,Onion,FAQ,25/03/2024,600,2500,2200,23
Rajasthan,Udaipur,Udaipur (F&V),Water Melon,Other,Medium,25/03/2024,1000,1500,1400,73
Rajasthan,Dausa,Mandawari,Bajra(Pearl Millet/Cumbu),Other,FAQ,25/03/2024,2200,2250,2230,28
Rajasthan,Jhunjunu,Chirawa,Bajra(Pearl Millet/Cumbu),Other,FAQ,25/03/2024,2250,2250,2250,28
Rajasthan,Udaipur,Udaipur (F&V),Chikoos(Sapota),Other,Medium,25/03/2024,1000,2500,2000,71
Rajasthan,Udaipur,Udaipur (F&V),Bottle gourd,Other,FAQ,25/03/2024,800,2000,1500,82
Rajasthan,Ajmer,Kekri,Bengal Gram(Gram)(Whole),999,FAQ,25/03/2024,4980,5400,5241,6
Rajasthan,Udaipur,Udaipur (F&V),Tomato,Other,FAQ,25/03/2024,1000,1700,1500,78
Rajasthan,Ajmer,Vijaynagar,Tomato,Deshi,FAQ,25/03/2024,1620,1810,1725,78
Rajasthan,Udaipur,Udaipur (F&V),Guar,Other,FAQ,25/03/2024,2000,3500,3000,75
Rajasthan,Ajmer,Kekri,Guar,Gwar,FAQ,25/03/2024,4041,4256,4160,75
Rajasthan,Udaipur,Udaipur (F&V),Lemon,Other,FAQ,25/03/2024,6000,9000,8000,310
Rajasthan,Udaipur,Udaipur (F&V),Pomegranate,Other,Medium,25/03/2024,3000,6000,5000,190
Rajasthan,Udaipur,Udaipur (F&V),Karbuja(Musk Melon),Other,Medium,25/03/2024,1000,2000,1800,187
Rajasthan,Baran,Baran,Onion,Other,FAQ,25/03/2024,900,1300,1050,23
Rajasthan,Hanumangarh,Rawatsar,Onion,1st Sort,FAQ,25/03/2024,1500,1500,1500,23
Rajasthan,Udaipur,Udaipur (F&V),Onion,Other,FAQ,25/03/2024,1000,1500,1400,23
Rajasthan,Bhilwara,Bhilwara,Garlic,Other,FAQ,25/03/2024,6000,12000,9000,25
Rajasthan,Ajmer,Kekri,Wheat,Other,FAQ,25/03/2024,2311,2351,2341,1
Rajasthan,Ajmer,Kekri,Bajra(Pearl Millet/Cumbu),Other,FAQ,25/03/2024,2001,2261,2200,28
Rajasthan,Jalore,Bhinmal,Cummin Seed(Jeera),Other,FAQ,25/03/2024,23000,23000,23000,42
