,State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
4341,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,French Beans (Frasbean),French Beans (Frasbean),FAQ,05/02/2024,60.0,100.0,80.0,298
4342,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Green Chilli,Green Chilly,FAQ,05/02/2024,300.0,400.0,350.0,87
4343,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Brinjal,Arkasheela Mattigulla,FAQ,05/02/2024,60.0,100.0,80.0,35
4344,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Cucumbar(Kheera),Cucumbar,FAQ,05/02/2024,40.0,80.0,60.0,159
4345,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Papaya,Papaya,Medium,05/02/2024,40.0,60.0,50.0,72
4346,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Sweet Potato,Sweet Potato,FAQ,05/02/2024,60.0,100.0,80.0,152
4347,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Banana - Green,Banana - Green,FAQ,05/02/2024,30.0,40.0,35.0,90
4348,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Tapioca,Tapioca,FAQ,05/02/2024,30.0,50.0,40.0,100
4349,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Amaranthus,Amaranthus,FAQ,05/02/2024,30.0,60.0,45.0,86
4350,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Ginger(Dry),Other,FAQ,05/02/2024,300.0,400.0,350.0,27
4351,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Papaya (Raw),Other,FAQ,05/02/2024,30.0,50.0,40.0,313
4352,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Drumstick,Drumstick,FAQ,05/02/2024,100.0,150.0,125.0,168
4353,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Elephant Yam (Suran),Elephant Yam (Suran),FAQ,05/02/2024,30.0,60.0,45.0,296
4354,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Bhindi(Ladies Finger),Bhindi,FAQ,05/02/2024,40.0,80.0,60.0,85
4355,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Cowpea(Veg),Cowpea (Veg),FAQ,05/02/2024,40.0,80.0,60.0,89
4356,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Coriander(Leaves),Coriander,FAQ,05/02/2024,100.0,200.0,150.0,43
4357,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Banana,Banana - Ripe,Medium,05/02/2024,25.0,40.0,30.0,19
4358,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Leafy Vegetable,Leafy Vegetables,FAQ,05/02/2024,25.0,45.0,35.0,171
4359,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Lemon,Lemon,FAQ,05/02/2024,10.0,15.0,12.0,310
4360,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Raddish,Raddish,FAQ,05/02/2024,30.0,60.0,35.0,161
4361,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Bitter gourd,Bitter Gourd,FAQ,05/02/2024,40.0,80.0,60.0,81
4362,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Pumpkin,Other,FAQ,05/02/2024,40.0,80.0,60.0,84
4363,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Bottle gourd,Bottle Gourd,FAQ,05/02/2024,40.0,80.0,60.0,82
4364,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Little gourd (Kundru),Little gourd (Kundru),FAQ,05/02/2024,60.0,100.0,80.0,302
4933,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Bottle gourd,Bottle Gourd,FAQ,10/02/2024,60.0,100.0,80.0,82
4934,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Leafy Vegetable,Leafy Vegetables,FAQ,10/02/2024,25.0,45.0,35.0,171
4935,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Little gourd (Kundru),Little gourd (Kundru),FAQ,10/02/2024,80.0,120.0,100.0,302
4936,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Drumstick,Drumstick,FAQ,10/02/2024,80.0,120.0,100.0,168
4937,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Green Chilli,Green Chilly,FAQ,10/02/2024,300.0,400.0,350.0,87
4938,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Bitter gourd,Bitter Gourd,FAQ,10/02/2024,60.0,90.0,75.0,81
4939,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,French Beans (Frasbean),French Beans (Frasbean),FAQ,10/02/2024,60.0,100.0,80.0,298
4940,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Lemon,Lemon,FAQ,10/02/2024,8.0,15.0,12.0,310
4941,Andaman and Nicobar,North and Middle Andaman ,Mayabandar,Ginger(Dry),Other,FAQ,10/02/2024,250.0,400.0,330.0,27
