,State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
0,Andhra Pradesh,East Godavari,Rajahmundry,Paddy(Dhan)(Common),Swarna Masuri (New),FAQ,01/01/2024,2203.0,2203.0,2203.0,2
1,Andhra Pradesh,Chittor,Palamaner,Cluster beans,Cluster Beans,FAQ,01/01/2024,1500.0,2500.0,2000.0,80
2,Andhra Pradesh,Chittor,Palamaner,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,01/01/2024,2000.0,4000.0,3000.0,160
3,Andhra Pradesh,Guntur,Guntur,Dry Chillies,White,FAQ,01/01/2024,5000.0,13500.0,11500.0,132
4,Andhra Pradesh,Guntur,Guntur,Dry Chillies,Red,FAQ,01/01/2024,9000.0,22000.0,19000.0,132
5,Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,Red,FAQ,01/01/2024,15000.0,23000.0,19000.0,132
6,Andhra Pradesh,Kurnool,Banaganapalli,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,01/01/2024,5500.0,5700.0,5600.0,6
7,Andhra Pradesh,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,01/01/2024,3200.0,3600.0,3600.0,74
8,Andhra Pradesh,West Godavari,Gopalavaram,Lemon,Lemon,FAQ,01/01/2024,2500.0,3200.0,3000.0,310
9,Andhra Pradesh,Chittor,Madanapalli,Tomato,Other,FAQ,01/01/2024,1100.0,2000.0,1800.0,78
10,Andhra Pradesh,Chittor,Palamaner,Cauliflower,Cauliflower,FAQ,01/01/2024,600.0,1200.0,900.0,34
11,Andhra Pradesh,East Godavari,Rajahmundry,Paddy(Dhan)(Common),Paddy,FAQ,01/01/2024,2183.0,2183.0,2183.0,2
12,Andhra Pradesh,Kurnool,Nandikotkur,Maize,Hybrid,FAQ,01/01/2024,2090.0,2090.0,2090.0,4
13,Andhra Pradesh,Kurnool,Banaganapalli,Paddy(Dhan)(Common),Sona Mahsuri,FAQ,01/01/2024,2300.0,2500.0,2400.0,2
14,Andhra Pradesh,Kurnool,Atmakur,Maize,Hybrid/Local,FAQ,01/01/2024,2090.0,2090.0,2090.0,4
15,Andhra Pradesh,Guntur,Guntur,Dry Chillies,Red Top,FAQ,01/01/2024,12000.0,23500.0,23000.0,132
16,Andhra Pradesh,Kurnool,Pattikonda,Tomato,Local,FAQ,01/01/2024,1300.0,1700.0,1500.0,78
17,Andhra Pradesh,Chittor,Palamaner,Tomato,Hybrid,FAQ,01/01/2024,1200.0,2800.0,2200.0,78
18,Andhra Pradesh,Guntur,Tenali,Lemon,Lemon,FAQ,01/01/2024,2200.0,3200.0,2700.0,310
19,Andhra Pradesh,Chittor,Palamaner,Potato,(Red Nanital),FAQ,01/01/2024,1500.0,2500.0,2000.0,24
20,Andhra Pradesh,Kurnool,Atmakur,Paddy(Dhan)(Common),Sona Mahsuri,FAQ,01/01/2024,2183.0,2183.0,2183.0,2
21,Andhra Pradesh,Kurnool,Nandikotkur,Bengal Gram(Gram)(Whole),Gulabi,FAQ,01/01/2024,5335.0,5335.0,5335.0,6
22,Andhra Pradesh,Guntur,Guntur,Dry Chillies,Guntur,FAQ,01/01/2024,14000.0,21000.0,18000.0,132
23,Andhra Pradesh,Chittor,Kalikiri,Tomato,Local,FAQ,01/01/2024,1000.0,2000.0,1500.0,78
24,Andhra Pradesh,Chittor,Madanapalli,Tomato,Local,FAQ,01/01/2024,2100.0,2800.0,2600.0,78
25,Andhra Pradesh,Guntur,Guntur,Dry Chillies,Red New,FAQ,01/01/2024,9000.0,23500.0,22500.0,132
26,Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,1st Sort,FAQ,01/01/2024,14000.0,22000.0,18000.0,132
27,Andhra Pradesh,Kurnool,Nandikotkur,Paddy(Dhan)(Common),Sona,FAQ,01/01/2024,2183.0,2183.0,2183.0,2
28,Andhra Pradesh,Guntur,Tenali,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,01/01/2024,9200.0,9600.0,9400.0,8
29,Andhra Pradesh,Kurnool,Banaganapalli,Jowar(Sorghum),Jowar ( White),FAQ,01/01/2024,3600.0,3800.0,3700.0,5
1000,Andhra Pradesh,East Godavari,Rajahmundry,Paddy(Dhan)(Common),Paddy,FAQ,02/01/2024,2183.0,2183.0,2183.0,2
1001,Andhra Pradesh,Kurnool,Kurnool,Maize,Local,FAQ,02/01/2024,2040.0,2090.0,2040.0,4
1002,Andhra Pradesh,Kurnool,Kurnool,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,02/01/2024,7300.0,9129.0,9129.0,8
1003,Andhra Pradesh,Kurnool,Adoni,Cotton,Bunny,FAQ,02/01/2024,4719.0,7120.0,6900.0,15
1004,Andhra Pradesh,Guntur,Tenali,Lemon,Lemon,FAQ,02/01/2024,2500.0,3400.0,3000.0,310
1005,Andhra Pradesh,Guntur,Guntur,Dry Chillies,Guntur,FAQ,02/01/2024,12000.0,20500.0,18000.0,132
1006,Andhra Pradesh,Guntur,Guntur,Dry Chillies,Red,FAQ,02/01/2024,9500.0,21500.0,19000.0,132
1007,Andhra Pradesh,Guntur,Guntur,Dry Chillies,Red Top,FAQ,02/01/2024,13200.0,23200.0,22000.0,132
1008,Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,Red,FAQ,02/01/2024,15000.0,23000.0,19000.0,132
1009,Andhra Pradesh,Chittor,Kalikiri,Tomato,Local,FAQ,02/01/2024,1000.0,2300.0,1700.0,78
1010,Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,02/01/2024,3750.0,4250.0,4000.0,74
1011,Andhra Pradesh,Chittor,Chittoor,Gur(Jaggery),NO 2,FAQ,02/01/2024,3400.0,3600.0,3600.0,74
1012,Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,02/01/2024,3440.0,3730.0,3585.0,74
1013,Andhra Pradesh,Kurnool,Kurnool,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,02/01/2024,5240.0,5335.0,5240.0,6
1014,Andhra Pradesh,Kurnool,Nandikotkur,Bengal Gram(Gram)(Whole),Gulabi,FAQ,02/01/2024,5335.0,5335.0,5335.0,6
1015,Andhra Pradesh,Kurnool,Kurnool,Sunflower,Bold,FAQ,02/01/2024,1280.0,6400.0,4059.0,14
1016,Andhra Pradesh,Kurnool,Pattikonda,Tomato,Local,FAQ,02/01/2024,1300.0,1700.0,1500.0,78
1017,Andhra Pradesh,West Godavari,Gopalavaram,Lemon,Lemon,FAQ,02/01/2024,2500.0,3200.0,3000.0,310
1018,Andhra Pradesh,Kurnool,Banaganapalli,Jowar(Sorghum),Jowar ( White),FAQ,02/01/2024,3500.0,3700.0,3600.0,5
1019,Andhra Pradesh,Guntur,Tenali,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,02/01/2024,9200.0,9600.0,9400.0,8
1020,Andhra Pradesh,Kurnool,Banaganapalli,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,02/01/2024,5500.0,5700.0,5600.0,6
1021,Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 1,FAQ,02/01/2024,3950.0,4500.0,4225.0,74
1022,Andhra Pradesh,Kurnool,Kurnool,Onion,Local,FAQ,02/01/2024,615.0,1969.0,1634.0,23
1023,Andhra Pradesh,Chittor,Madanapalli,Tomato,Local,FAQ,02/01/2024,2800.0,3400.0,3200.0,78
1024,Andhra Pradesh,East Godavari,Rajahmundry,Paddy(Dhan)(Common),Swarna Masuri (New),FAQ,02/01/2024,2203.0,2203.0,2203.0,2
1025,Andhra Pradesh,Kurnool,Atmakur,Paddy(Dhan)(Common),Sona Mahsuri,FAQ,02/01/2024,2183.0,2183.0,2183.0,2
1026,Andhra Pradesh,Kurnool,Banaganapalli,Paddy(Dhan)(Common),Sona Mahsuri,FAQ,02/01/2024,2300.0,2500.0,2400.0,2
1027,Andhra Pradesh,Kurnool,Adoni,Groundnut,Balli/Habbu,FAQ,02/01/2024,4569.0,7619.0,6789.0,10
1028,Andhra Pradesh,Kurnool,Kurnool,Groundnut,Local,FAQ,02/01/2024,5319.0,7611.0,5859.0,10
1029,Andhra Pradesh,Kurnool,Adoni,Sunflower,Local,FAQ,02/01/2024,4122.0,4122.0,4122.0,14
1030,Andhra Pradesh,Kurnool,Nandikotkur,Maize,Hybrid,FAQ,02/01/2024,2090.0,2090.0,2090.0,4
1031,Andhra Pradesh,Kurnool,Adoni,Castor Seed,Castor seed,FAQ,02/01/2024,4000.0,5217.0,5173.0,123
1032,Andhra Pradesh,Kurnool,Kurnool,Castor Seed,Other,FAQ,02/01/2024,4709.0,5209.0,5179.0,123
1033,Andhra Pradesh,Guntur,Guntur,Dry Chillies,Red New,FAQ,02/01/2024,9000.0,23000.0,22000.0,132
1034,Andhra Pradesh,Guntur,Pidugurala(Palnadu),Dry Chillies,1st Sort,FAQ,02/01/2024,14000.0,22000.0,18000.0,132
1035,Andhra Pradesh,Chittor,Madanapalli,Tomato,Other,FAQ,02/01/2024,2000.0,2680.0,2500.0,78
1036,Andhra Pradesh,Kurnool,Kurnool,Arhar (Tur/Red Gram)(Whole),Local,FAQ,02/01/2024,2000.0,9500.0,8236.0,49
1037,Andhra Pradesh,Guntur,Guntur,Dry Chillies,White,FAQ,02/01/2024,5000.0,13500.0,12000.0,132
1038,Andhra Pradesh,Kurnool,Kurnool,Dry Chillies,Local,FAQ,02/01/2024,4514.0,22569.0,17899.0,132
