State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Assam,MORIGAON,Kushtoli,Brinjal,Brinjal,Local,04/09/2024,2400,2700,2500,35
Assam,Karbi Anglong,Sariahjan,Brinjal,Brinjal,Local,04/09/2024,1500,2000,1800,35
Assam,Barpeta,Barpeta Road,Pumpkin,Pumpkin,Local,04/09/2024,1400,1800,1500,84
Assam,Goalpara,Krishnai,Pumpkin,Pumpkin,Local,04/09/2024,2200,2500,2400,84
Assam,Jorhat,Jorhat,Pumpkin,Pumpkin,Local,04/09/2024,1500,1700,1700,84
Assam,Kokrajhar,Dotma Bazar,Pumpkin,Pumpkin,Local,04/09/2024,1700,2000,1800,84
Assam,MORIGAON,Kushtoli,Tomato,Tomato,Local,04/09/2024,4000,4400,4200,78
Assam,Sibsagar,Simalguri,Tomato,Tomato,Local,04/09/2024,3500,4000,3800,78
Assam,Karbi Anglong,Sariahjan,Cabbage,Cabbage,Local,04/09/2024,1800,2000,1800,154
Assam,Nalbari,Dhamdhama,Cabbage,Cabbage,Local,04/09/2024,2500,2600,2500,154
Assam,Sibsagar,Simalguri,Cabbage,Cabbage,Local,04/09/2024,2200,2300,2300,154
Assam,Kokrajhar,Dotma Bazar,Capsicum,Capsicum,Local,04/09/2024,2000,2500,2500,164
Assam,Goalpara,Krishnai,Green Chilli,Green Chilly,Local,04/09/2024,7000,8000,7000,87
Assam,Kokrajhar,Dotma Bazar,Green Chilli,Green Chilly,Local,04/09/2024,6000,7000,6500,87
Assam,Nalbari,Dhamdhama,Green Chilli,Green Chilly,Local,04/09/2024,8000,10000,8200,87
Assam,Barpeta,Barpeta Road,Bhindi(Ladies Finger),Bhindi,Local,04/09/2024,1200,1500,1400,85
Assam,Kokrajhar,Dotma Bazar,Bitter gourd,Bitter Gourd,Local,04/09/2024,1800,2000,1800,81
Assam,Jorhat,Jorhat,Green Chilli,Green Chilly,Local,04/09/2024,8500,10000,9000,87
Assam,Goalpara,Krishnai,Bottle gourd,Bottle Gourd,Local,04/09/2024,1666.75,2000.1,1666.75,82
Assam,Barpeta,Barpeta Road,Bitter gourd,Bitter Gourd,Local,04/09/2024,1200,1500,1500,81
Assam,Goalpara,Krishnai,Bitter gourd,Bitter Gourd,Local,04/09/2024,2000,2500,2000,81
Assam,Karbi Anglong,Sariahjan,Bitter gourd,Bitter Gourd,Local,04/09/2024,2000,2500,2000,81
Assam,Goalpara,Krishnai,Tomato,Tomato,Local,04/09/2024,4000,4200,4000,78
Assam,Barpeta,Barpeta Road,Cabbage,Cabbage,Local,04/09/2024,1600,1800,1800,154
Assam,Goalpara,Krishnai,Cabbage,Cabbage,Local,04/09/2024,2200,2500,2500,154
Assam,Goalpara,Krishnai,Capsicum,Capsicum,Local,04/09/2024,2000,2500,2000,164
Assam,Jorhat,Jorhat,Ginger(Green),Green Ginger,Local,04/09/2024,10000,11000,10000,103
Assam,Goalpara,Krishnai,Lemon,Lemon,Local,04/09/2024,533.6,667,667,310
Assam,Jorhat,Jorhat,Lemon,Lemon,Local,04/09/2024,533.6,667,667,310
Assam,Karbi Anglong,Sariahjan,Lemon,Lemon,Local,04/09/2024,533.6,667,600.3,310
Assam,Sibsagar,Simalguri,Lemon,Lemon,Local,04/09/2024,533.6,667,533.6,310
Assam,Karbi Anglong,Sariahjan,Green Chilli,Green Chilly,Local,04/09/2024,6000,8000,7000,87
Assam,MORIGAON,Kushtoli,Green Chilli,Green Chilly,Local,04/09/2024,7500,8000,7800,87
Assam,Sibsagar,Simalguri,Green Chilli,Green Chilly,Local,04/09/2024,8500,10000,9000,87
Assam,Barpeta,Barpeta Road,Capsicum,Capsicum,Local,04/09/2024,1700,2500,1800,164
Assam,Jorhat,Jorhat,Capsicum,Capsicum,Local,04/09/2024,2000,2400,2400,164
Assam,Karbi Anglong,Sariahjan,Capsicum,Capsicum,Local,04/09/2024,1500,1800,1500,164
Assam,MORIGAON,Kushtoli,Capsicum,Capsicum,Local,04/09/2024,2200,2500,2400,164
Assam,Kokrajhar,Dotma Bazar,Cabbage,Cabbage,Local,04/09/2024,2200,2500,2400,154
Assam,Jorhat,Jorhat,Bitter gourd,Bitter Gourd,Local,04/09/2024,2000,2400,2400,81
Assam,Karbi Anglong,Sariahjan,Tomato,Tomato,Local,04/09/2024,3500,3800,3500,78
Assam,Goalpara,Krishnai,Ginger(Green),Green Ginger,Local,04/09/2024,9000,10000,10000,103
Assam,MORIGAON,Kushtoli,Ginger(Green),Green Ginger,Local,04/09/2024,8000,10000,9000,103
Assam,Nalbari,Dhamdhama,Ginger(Green),Green Ginger,Local,04/09/2024,9000,12000,11000,103
Assam,Nalbari,Dhamdhama,Lemon,Lemon,Local,04/09/2024,667,800.4,733.7,310
Assam,Jorhat,Jorhat,Bhindi(Ladies Finger),Bhindi,Local,04/09/2024,2200,2400,2200,85
Assam,Nalbari,Dhamdhama,Bhindi(Ladies Finger),Bhindi,Local,04/09/2024,2000,2400,2000,85
Assam,Goalpara,Krishnai,Bhindi(Ladies Finger),Bhindi,Local,04/09/2024,1700,2000,1800,85
Assam,Kokrajhar,Dotma Bazar,Bhindi(Ladies Finger),Bhindi,Local,04/09/2024,1200,1500,1400,85
Assam,Barpeta,Barpeta Road,Ginger(Green),Green Ginger,Local,04/09/2024,7000,10000,9000,103
Assam,Nalbari,Dhamdhama,Potato,Potato,Local,04/09/2024,3150,3200,3200,24
Assam,Jorhat,Jorhat,Cabbage,Cabbage,Local,04/09/2024,2200,2300,2200,154
