State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Goa,South Goa,Ponda,Coconut,Coconut,FAQ,01/01/2024,600,1200,900,138
Goa,South Goa,Curchorem,Arecanut(Betelnut/Supari),Supari,FAQ,01/01/2024,32500,32500,32500,140
Goa,South Goa,Curchorem,Arecanut(Betelnut/Supari),White,FAQ,01/01/2024,30500,30500,30500,140
Goa,South Goa,Ponda,Arecanut(Betelnut/Supari),White,FAQ,01/01/2024,30500,35000,32700,140
Goa,North Goa,Mapusa,Marigold(loose),Marigold(Loose),FAQ,01/01/2024,5000,5000,5000,405
Goa,North Goa,Mapusa,Water Melon,Water Melon,Medium,01/01/2024,1500,1500,1500,73
Goa,North Goa,Mapusa,Arecanut(Betelnut/Supari),Rashi,FAQ,01/01/2024,31500,36300,33900,140
Goa,North Goa,Pernem,Arecanut(Betelnut/Supari),Rashi,FAQ,01/01/2024,31500,36700,34100,140
Goa,South Goa,Curchorem,Arecanut(Betelnut/Supari),Red,FAQ,01/01/2024,29500,29500,29500,140
Goa,North Goa,Mapusa,Potato,Potato,FAQ,01/01/2024,1500,1700,1600,24
Goa,North Goa,Pernem,Copra,Copra,FAQ,01/01/2024,7800,7800,7800,129
Goa,North Goa,Mapusa,Mousambi(Sweet Lime),Mousambi,Medium,01/01/2024,4000,4000,4000,77
Goa,North Goa,Pernem,Arecanut(Betelnut/Supari),Supari,FAQ,01/01/2024,32500,37500,35000,140
Goa,North Goa,Sanquelim,Arecanut(Betelnut/Supari),Red,FAQ,01/01/2024,29500,34000,31750,140
Goa,North Goa,Sanquelim,Arecanut(Betelnut/Supari),Supari,FAQ,01/01/2024,32500,37100,34800,140
Goa,North Goa,Mapusa,Coconut,Coconut,FAQ,01/01/2024,600,1500,1200,138
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,01/01/2024,1500,1500,1500,72
Goa,North Goa,Mapusa,Banana,Other,Medium,01/01/2024,2000,3000,2500,19
Goa,North Goa,Mapusa,Grapes,Green,Medium,01/01/2024,5000,5000,5000,22
Goa,North Goa,Mapusa,Green Chilli,Green Chilly,FAQ,01/01/2024,4200,4200,4200,87
Goa,North Goa,Mapusa,Pineapple,Pine Apple,Medium,01/01/2024,1500,1500,1500,21
Goa,North Goa,Pernem,Arecanut(Betelnut/Supari),Red,FAQ,01/01/2024,29500,34400,31950,140
Goa,North Goa,Pernem,Arecanut(Betelnut/Supari),White,FAQ,01/01/2024,30500,35400,32950,140
Goa,North Goa,Sanquelim,Arecanut(Betelnut/Supari),White,FAQ,01/01/2024,30500,35000,32750,140
Goa,South Goa,Curchorem,Coconut,Medium,FAQ,01/01/2024,440,1320,880,138
Goa,South Goa,Ponda,Arecanut(Betelnut/Supari),Red,FAQ,01/01/2024,29500,34000,31700,140
Goa,South Goa,Ponda,Arecanut(Betelnut/Supari),Supari,FAQ,01/01/2024,32500,37100,34800,140
Goa,North Goa,Mapusa,Orange,Orange,Medium,01/01/2024,2000,2000,2000,18
Goa,North Goa,Mapusa,Onion,Onion,FAQ,01/01/2024,1500,2000,1800,23
Goa,North Goa,Pernem,Arecanut(Betelnut/Supari),Supari,FAQ,02/01/2024,32500,37500,35000,140
Goa,North Goa,Pernem,Arecanut(Betelnut/Supari),White,FAQ,02/01/2024,30500,35400,32950,140
Goa,North Goa,Mapusa,Coconut,Coconut,FAQ,02/01/2024,600,1500,1200,138
Goa,North Goa,Mapusa,Water Melon,Water Melon,Medium,02/01/2024,1500,1500,1500,73
Goa,North Goa,Mapusa,Papaya,Papaya,Medium,02/01/2024,1500,1500,1500,72
Goa,North Goa,Mapusa,Arecanut(Betelnut/Supari),Rashi,FAQ,02/01/2024,31500,36300,33900,140
Goa,North Goa,Sanquelim,Arecanut(Betelnut/Supari),Supari,FAQ,02/01/2024,32500,37100,34800,140
Goa,South Goa,Margao,Coconut,Medium,FAQ,02/01/2024,700,1400,1043,138
Goa,North Goa,Mapusa,Pineapple,Pine Apple,Medium,02/01/2024,1500,1500,1500,21
Goa,North Goa,Mapusa,Mango,Other,Medium,02/01/2024,2000,3000,2500,20
Goa,North Goa,Pernem,Arecanut(Betelnut/Supari),Rashi,FAQ,02/01/2024,31500,36700,34100,140
Goa,North Goa,Sanquelim,Arecanut(Betelnut/Supari),Red,FAQ,02/01/2024,29500,34000,31750,140
Goa,South Goa,Curchorem,Arecanut(Betelnut/Supari),Red,FAQ,02/01/2024,29500,29500,29500,140
Goa,North Goa,Mapusa,Grapes,Green,Medium,02/01/2024,5000,5000,5000,22
Goa,North Goa,Mapusa,Potato,Potato,FAQ,02/01/2024,1000,1500,1300,24
Goa,North Goa,Pernem,Copra,Copra,FAQ,02/01/2024,7800,7800,7800,129
Goa,North Goa,Pernem,Arecanut(Betelnut/Supari),Red,FAQ,02/01/2024,29500,34400,31950,140
Goa,South Goa,Curchorem,Arecanut(Betelnut/Supari),White,FAQ,02/01/2024,30500,30500,30500,140
Goa,North Goa,Mapusa,Apple,Apple,Medium,02/01/2024,10000,10000,10000,17
Goa,North Goa,Mapusa,Mousambi(Sweet Lime),Mousambi,Medium,02/01/2024,4000,4000,4000,77
