State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Manipur,Imphal West,Imphal,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,02/05/2024,7000,8000,7500,6
Manipur,Imphal West,Imphal,Banana,Other,Medium,02/05/2024,3500,4000,3750,19
Manipur,Bishnupur,Bishenpur,Onion,Onion,FAQ,02/05/2024,3000,3500,3250,23
Manipur,Imphal West,Imphal,Onion,Other,FAQ,02/05/2024,2300,3000,2650,23
Manipur,Bishnupur,Bishenpur,Dry Chillies,Dry Chillies,FAQ,02/05/2024,25000,26000,25500,132
Manipur,Thoubal,Thoubal,Masur Dal,Masur Dal,FAQ,02/05/2024,9500,10000,9750,259
Manipur,Imphal East,Lamlong Bazaar,Cabbage,Cabbage,FAQ,02/05/2024,700,1000,850,154
Manipur,Thoubal,Thoubal,Cabbage,Cabbage,FAQ,02/05/2024,700,1000,850,154
Manipur,Imphal East,Lamlong Bazaar,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,02/05/2024,17000,18000,17500,260
Manipur,Thoubal,Thoubal,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,02/05/2024,17500,18000,17750,260
Manipur,Thoubal,Thoubal,Green Gram Dal (Moong Dal),Green Gram Dal,FAQ,02/05/2024,15500,16000,15750,265
Manipur,Imphal East,Lamlong Bazaar,Potato,Other,FAQ,02/05/2024,2500,3000,2750,24
Manipur,Imphal East,Lamlong Bazaar,Banana,Other,Medium,02/05/2024,4000,4500,4250,19
Manipur,Imphal East,Lamlong Bazaar,Ginger(Green),Green Ginger,FAQ,02/05/2024,11000,12000,11500,103
Manipur,Thoubal,Thoubal,Soyabean,Other,FAQ,02/05/2024,8500,9000,8750,13
Manipur,Bishnupur,Bishenpur,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,02/05/2024,7400,8000,7700,6
Manipur,Imphal East,Lamlong Bazaar,Bengal Gram(Gram)(Whole),Desi (Whole),FAQ,02/05/2024,7500,8000,7750,6
Manipur,Imphal East,Lamlong Bazaar,Rice,Other,FAQ,02/05/2024,5300,5300,5300,3
Manipur,Thoubal,Thoubal,Rice,Other,FAQ,02/05/2024,5300,5300,5300,3
Manipur,Imphal West,Imphal,Black Gram (Urd Beans)(Whole),Black Gram Dal,FAQ,02/05/2024,13000,14000,13500,8
Manipur,Thoubal,Thoubal,Paddy(Dhan)(Common),Other,FAQ,02/05/2024,3500,3500,3500,2
Manipur,Imphal West,Imphal,Cabbage,Other,FAQ,02/05/2024,800,1000,900,154
Manipur,Thoubal,Thoubal,Black Gram Dal (Urd Dal),Black Gram Dal,FAQ,02/05/2024,13500,14000,13750,264
