State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Meghalaya,East Khasi Hills,Shillong,Pineapple,Pine Apple,Large,02/01/2024,3000,4000,3500,21
Meghalaya,East Khasi Hills,Shillong,Ginger(Dry),Dry,FAQ,02/01/2024,8000,10000,9000,27
Meghalaya,East Khasi Hills,Shillong,Orange,Orange,Large,02/01/2024,6000,7000,6500,18
Meghalaya,East Khasi Hills,Shillong,Banana,Banana - Ripe,Large,02/01/2024,2500,4500,4000,19
Meghalaya,East Khasi Hills,Shillong,Carrot,Carrot,FAQ,02/01/2024,2200,2800,2500,153
Meghalaya,East Khasi Hills,Shillong,Pumpkin,Pumpkin,FAQ,02/01/2024,2300,2500,2400,84
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Bay leaf (Tejpatta),Other,FAQ,02/01/2024,3500,4000,3500,321
Meghalaya,East Khasi Hills,Shillong,Cabbage,Cabbage,FAQ,02/01/2024,1000,1200,1100,154
Meghalaya,East Khasi Hills,Shillong,Betal Leaves,Local,FAQ,02/01/2024,18000,28000,24000,143
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,02/01/2024,7500,8000,7500,320
Meghalaya,East Khasi Hills,Shillong,Turnip,Turnip,FAQ,02/01/2024,1200,1700,1500,341
Meghalaya,East Khasi Hills,Shillong,Cauliflower,Local,FAQ,02/01/2024,2500,2800,2700,34
Meghalaya,East Khasi Hills,Shillong,Raddish,Raddish,FAQ,02/01/2024,800,900,850,161
Meghalaya,East Khasi Hills,Shillong,Field Pea,Field Pea,FAQ,02/01/2024,5500,6000,5800,64
Meghalaya,East Khasi Hills,Shillong,Potato,Local,FAQ,02/01/2024,1500,2200,1800,24
Meghalaya,East Khasi Hills,Shillong,Arecanut(Betelnut/Supari),New Variety,FAQ,02/01/2024,12000,22000,18000,140
Meghalaya,West Garo Hills,Tura,Pumpkin,Pumpkin,FAQ,03/01/2024,6000,6500,6200,84
Meghalaya,West Garo Hills,Tura,Betal Leaves,Local,FAQ,03/01/2024,15000,18000,16000,143
Meghalaya,West Garo Hills,Tura,Cabbage,Cabbage,FAQ,03/01/2024,2500,3000,2800,154
Meghalaya,East Khasi Hills,Shillong,Pineapple,Pine Apple,Large,03/01/2024,3500,4500,4000,21
Meghalaya,East Khasi Hills,Shillong,Carrot,Carrot,FAQ,03/01/2024,2000,3000,2500,153
Meghalaya,East Khasi Hills,Shillong,Cabbage,Cabbage,FAQ,03/01/2024,900,1000,950,154
Meghalaya,East Khasi Hills,Shillong,Orange,Orange,Large,03/01/2024,6500,7500,7000,18
Meghalaya,East Khasi Hills,Shillong,Cauliflower,Local,FAQ,03/01/2024,2500,3000,2800,34
Meghalaya,East Khasi Hills,Shillong,Banana,Banana - Ripe,Large,03/01/2024,2500,5000,4000,19
Meghalaya,East Khasi Hills,Shillong,Ginger(Dry),Dry,FAQ,03/01/2024,9000,11000,10000,27
Meghalaya,East Khasi Hills,Shillong,Betal Leaves,Local,FAQ,03/01/2024,18000,26000,22000,143
Meghalaya,East Khasi Hills,Shillong,Arecanut(Betelnut/Supari),New Variety,FAQ,03/01/2024,12000,18000,15000,140
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Broomstick(Flower Broom),Other,FAQ,03/01/2024,6000,8500,8000,320
Meghalaya,East Khasi Hills,Shillong,Raddish,Raddish,FAQ,03/01/2024,1000,1200,1100,161
Meghalaya,East Khasi Hills,Shillong,Pumpkin,Pumpkin,FAQ,03/01/2024,2200,2400,2300,84
Meghalaya,East Khasi Hills,Mawiong Regulated Market,Bay leaf (Tejpatta),Other,FAQ,03/01/2024,4000,4500,4000,321
Meghalaya,East Khasi Hills,Shillong,Potato,Local,FAQ,03/01/2024,1400,1600,1500,24
Meghalaya,East Khasi Hills,Shillong,Turnip,Turnip,FAQ,03/01/2024,1000,1500,1300,341
Meghalaya,East Khasi Hills,Shillong,Field Pea,Field Pea,FAQ,03/01/2024,4000,5000,4500,64
Meghalaya,East Khasi Hills,Shillong,Banana,Banana - Ripe,Medium,04/01/2024,2500,5000,4000,19
