State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
NCT of Delhi,Delhi,Shahdara,Cauliflower,Cauliflower,FAQ,01/01/2024,1000,1200,1100,34
NCT of Delhi,Delhi,Narela,Paddy(Dhan)(Common),Paddy,FAQ,01/01/2024,2600,5000,3800,2
NCT of Delhi,Delhi,Narela,Paddy(Dhan)(Common),Sarvati,FAQ,01/01/2024,2770,2770,2770,2
NCT of Delhi,Delhi,Azadpur,Apple,Maharaji,Large,01/01/2024,1333,3667,2667,17
NCT of Delhi,Delhi,Azadpur,Karbuja(Musk Melon),Karbhuja,Large,01/01/2024,1250,4500,2875,187
NCT of Delhi,Delhi,Shahdara,Peas Wet,Peas Wet,FAQ,01/01/2024,1600,2000,1800,174
NCT of Delhi,Delhi,Azadpur,Turnip,Turnip,FAQ,01/01/2024,1000,1800,1600,341
NCT of Delhi,Delhi,Azadpur,Cucumbar(Kheera),Cucumbar,FAQ,01/01/2024,700,2200,1400,159
NCT of Delhi,Delhi,Shahdara,Cucumbar(Kheera),Cucumbar,FAQ,01/01/2024,1500,1700,1600,159
NCT of Delhi,Delhi,Azadpur,Mint(Pudina),Mint(Pudina),FAQ,01/01/2024,1000,2200,1950,360
NCT of Delhi,Delhi,Shahdara,Mint(Pudina),Mint(Pudina),FAQ,01/01/2024,4500,6000,5500,360
NCT of Delhi,Delhi,Keshopur,Cabbage,Cabbage,FAQ,01/01/2024,1000,1400,1200,154
NCT of Delhi,Delhi,Azadpur,Cabbage,Cabbage,FAQ,01/01/2024,200,520,360,154
NCT of Delhi,Delhi,Shahdara,Brinjal,Brinjal,FAQ,01/01/2024,1800,2400,2100,35
NCT of Delhi,Delhi,Azadpur,Season Leaves,Season Leaves,FAQ,01/01/2024,1000,1200,1100,277
NCT of Delhi,Delhi,Shahdara,Tomato,Tomato,FAQ,01/01/2024,800,1200,1000,78
NCT of Delhi,Delhi,Azadpur,Green Chilli,Green Chilly,FAQ,01/01/2024,1000,2500,2000,87
NCT of Delhi,Delhi,Shahdara,Potato,Potato,FAQ,01/01/2024,800,1100,900,24
NCT of Delhi,Delhi,Narela,Bajra(Pearl Millet/Cumbu),Other,FAQ,01/01/2024,2250,2250,2250,28
NCT of Delhi,Delhi,Azadpur,Pumpkin,Pumpkin,FAQ,01/01/2024,500,1500,1100,84
NCT of Delhi,Delhi,Shahdara,Bitter gourd,Bitter Gourd,FAQ,01/01/2024,2800,3200,3000,81
NCT of Delhi,Delhi,Azadpur,Bottle gourd,Bottle Gourd,FAQ,01/01/2024,1000,2000,1750,82
NCT of Delhi,Delhi,Shahdara,Bottle gourd,Bottle Gourd,FAQ,01/01/2024,2200,2600,2400,82
NCT of Delhi,Delhi,Keshopur,Bitter gourd,Bitter Gourd,FAQ,01/01/2024,3800,5000,4400,81
NCT of Delhi,Delhi,Shahdara,Green Chilli,Green Chilly,FAQ,01/01/2024,2600,3000,2800,87
NCT of Delhi,Delhi,Azadpur,Chikoos(Sapota),Sapota,Large,01/01/2024,2500,5000,3400,71
NCT of Delhi,Delhi,Azadpur,Tomato,Tomato,FAQ,01/01/2024,600,2500,1567,78
NCT of Delhi,Delhi,Keshopur,Pumpkin,Pumpkin,FAQ,01/01/2024,800,1600,1200,84
NCT of Delhi,Delhi,Azadpur,Pointed gourd (Parval),Pointed gourd (Parval),FAQ,01/01/2024,2000,3500,2650,303
NCT of Delhi,Delhi,Keshopur,Cucumbar(Kheera),Cucumbar,FAQ,01/01/2024,600,2000,1300,159
NCT of Delhi,Delhi,Azadpur,Carrot,Carrot,FAQ,01/01/2024,700,1500,1100,153
NCT of Delhi,Delhi,Shahdara,Tinda,Tinda,FAQ,01/01/2024,2200,2600,2400,349
NCT of Delhi,Delhi,Azadpur,Amla(Nelli Kai),Amla,FAQ,01/01/2024,1500,2200,1950,355
NCT of Delhi,Delhi,Azadpur,Coriander(Leaves),Coriander,FAQ,01/01/2024,1000,2500,2100,43
